"Host.Species","Lake","Year","Julian.Day","Total","pasteuria.inf","metsch.inf","scarlet.inf","brood.inf","larssonia.inf","spider.inf","gurleya.inf","pasteuria.prev","metsch.prev","scarlet.prev","brood.prev","larssonia.prev","spider.prev","gurleya.prev","Density"
"ceriodaphnia","Pickerel","2015",2015244,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10320.1
"ceriodaphnia","Whitmore","2015",2015247,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11610.1
"ceriodaphnia","Woodland","2015",2015247,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77400.6
"ceriodaphnia","Walsh","2015",2015251,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5160
"ceriodaphnia","North","2015",2015252,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8845.8
"ceriodaphnia","CrookedP","2015",2015252,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,514714.2
"ceriodaphnia","Cedar","2015",2015254,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ceriodaphnia","CrookedW","2015",2015254,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2580
"ceriodaphnia","LittleAppleton","2015",2015257,252,0,0,0,2,0,0,0,0,0,0,0.00793650793650794,0,0,0,251552
"ceriodaphnia","Pickerel","2015",2015259,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7740.1
"ceriodaphnia","Gosling","2015",2015259,365,0,2,0,8,0,0,0,0,0.00547945205479452,0,0.0219178082191781,0,0,0,1002338.1
"ceriodaphnia","Sullivan","2015",2015259,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2580
"ceriodaphnia","Woodland","2015",2015260,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21285.2
"ceriodaphnia","Walsh","2015",2015264,21,3,0,0,0,0,0,0,0.142857142857143,0,0,0,0,0,0,7740.1
"ceriodaphnia","CrookedP","2015",2015266,233,0,0,0,2,0,0,0,0,0,0,0.00858369098712446,0,0,0,174151.4
"ceriodaphnia","CrookedW","2015",2015268,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2580
"ceriodaphnia","Cedar","2015",2015268,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ceriodaphnia","Sullivan","2015",2015271,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ceriodaphnia","Gosling","2015",2015271,280,0,0,0,8,0,0,0,0,0,0,0.0285714285714286,0,0,0,739176
"ceriodaphnia","Pickerel","2015",2015271,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13545.1
"ceriodaphnia","LittleAppleton","2015",2015273,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112230.9
"ceriodaphnia","Bishop","2015",2015273,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ceriodaphnia","Appleton","2015",2015273,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1935
"ceriodaphnia","Woodland","2015",2015275,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185761.5
"ceriodaphnia","Whitmore","2015",2015275,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15480.1
"ceriodaphnia","Mill","2015",2015278,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ceriodaphnia","CrookedP","2015",2015280,201,0,3,0,2,0,0,0,0,0.0149253731343284,0,0.00995024875621891,0,0,0,224461.8
"ceriodaphnia","LittleAppleton","2015",2015285,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27090.2
"ceriodaphnia","Bishop","2015",2015285,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2580
"ceriodaphnia","Appleton","2015",2015285,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1935
"ceriodaphnia","Sullivan","2015",2015287,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ceriodaphnia","Gosling","2015",2015287,309,0,3,0,2,0,0,0,0,0.00970873786407767,0,0.00647249190938511,0,0,0,924937.5
"ceriodaphnia","Pickerel","2015",2015287,20,1,0,0,0,0,0,0,0.05,0,0,0,0,0,0,23220.2
"ceriodaphnia","Whitmore","2015",2015288,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5160
"ceriodaphnia","Woodland","2015",2015288,321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211561.7
"ceriodaphnia","CrookedP","2015",2015294,211,0,1,0,2,0,0,0,0,0.004739336492891,0,0.00947867298578199,0,0,0,96750.8
"ceriodaphnia","CrookedW","2015",2015295,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5160
"ceriodaphnia","Cedar","2015",2015295,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ceriodaphnia","Sullivan","2015",2015299,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ceriodaphnia","Pickerel","2015",2015299,22,2,0,0,0,0,0,0,0.0909090909090909,0,0,0,0,0,0,10320.1
"ceriodaphnia","Gosling","2015",2015299,260,0,21,0,0,0,0,0,0,0.0807692307692308,0,0,0,0,0,317342.6
"ceriodaphnia","Bishop","2015",2015301,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15480.1
"ceriodaphnia","LittleAppleton","2015",2015301,81,0,2,0,1,0,0,0,0,0.0246913580246914,0,0.0123456790123457,0,0,0,43860.4
"ceriodaphnia","Appleton","2015",2015301,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ceriodaphnia","Whitmore","2015",2015303,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3870
"ceriodaphnia","Woodland","2015",2015303,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243812
"ceriodaphnia","CrookedP","2015",2015308,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48375.4
"ceriodaphnia","CrookedW","2015",2015310,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3870
"ceriodaphnia","Sullivan","2015",2015313,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ceriodaphnia","Pickerel","2015",2015313,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9675.1
